r [nm],g(r)
5.0,16.373829246294058
15.0,13.961156511793972
25.0,11.460478044534403
35.0,8.892336373708632
45.0,6.864757686274723
55.0,5.170110433149031
65.0,4.389481885847255
75.0,3.7908594864426597
85.0,3.155891319030106
95.0,2.761375092111908
105.0,2.3590691102533903
115.0,2.0918229252142746
125.0,1.8709701299201291
135.0,1.7592471767743196
145.0,1.6608640491349584
155.0,1.5532572237635884
165.0,1.4506052015271171
175.0,1.3833321020596174
185.0,1.3347150685524445
195.0,1.2777355714777392
205.0,1.2104571869593808
215.0,1.194362807808694
225.0,1.1212324725258056
235.0,1.121465775004101
245.0,1.069529457437349
255.0,1.0220858856858865
265.0,0.9927383257854306
275.0,0.9873989475156746
285.0,0.9561997267617166
295.0,0.9250804401296819
305.0,0.8978817818457678
315.0,0.8588348794727281
325.0,0.862121371748142
335.0,0.8229410451668367
345.0,0.8252999724212882
355.0,0.8083979017034626
365.0,0.7770792857016937
375.0,0.7503919494110609
385.0,0.760149557566697
395.0,0.7210414215421006
405.0,0.7250425666670512
415.0,0.7224400976155911
425.0,0.7308955825013007
435.0,0.7210315396601461
445.0,0.7140434018799191
455.0,0.6973582102597629
465.0,0.6966989835675147
475.0,0.693424080923931
485.0,0.6708083830807422
495.0,0.6660481473180349
